編號,地震時間,經度,緯度,深度,規模,震央位置
100059   ,2011/5/22 上午 09:34:00,121.76,24.12,6.1,5,花蓮縣政府東北方  20.3  公里外海
100058   ,2011/5/21 下午 11:27:00,121.34,23.46,8.6,3.2,花蓮縣政府南偏西方  65.2  公里
小區域,2011/5/21 下午 06:20:00,120.95,23.72,22.3,3.2,南投縣政府東南方  33.7  公里
小區域,2011/5/21 上午 08:34:00,120.71,23.59,15.8,3.5,雲林縣政府東偏南方  21.9  公里
小區域,2011/5/20 上午 08:17:00,120.57,23.66,10.6,2.6,雲林縣政府東南方  6.9  公里
小區域,2011/5/19 下午 10:22:00,121.81,24.37,9.5,2.7,宜蘭縣政府南方  40.1  公里外海
小區域,2011/5/18 下午 08:19:00,121.94,24.49,12.9,3.3,宜蘭縣政府東南方  31.9  公里外海
小區域,2011/5/18 上午 08:02:00,121.9,24.44,19.7,3.1,宜蘭縣政府南偏東方  34.6  公里外海
小區域,2011/5/16 上午 07:19:00,121.73,24.21,4.2,3.1,花蓮縣政府北偏東方  27.1  公里外海
小區域,2011/5/15 下午 04:42:00,122.29,25,19.2,4.2,基隆市政府東偏南方  56.8  公里外海
小區域,2011/5/14 下午 05:33:00,121.43,23.84,20.1,3.6,花蓮縣政府西南方  25.9  公里
小區域,2011/5/14 上午 08:40:00,121.85,24.38,12.1,2.9,宜蘭縣政府南偏東方  39.8  公里外海
小區域,2011/5/13 下午 09:19:00,120.44,23.51,10.7,3,嘉義市政府北偏西方  3.7  公里
小區域,2011/5/12 上午 11:44:00,121.83,24.39,9.2,2.7,宜蘭縣政府南方  38.5  公里外海
小區域,2011/5/11 下午 04:30:00,121.31,22.77,19.3,3.7,台東縣政府東方  16.4  公里外海
小區域,2011/5/11 上午 11:25:00,121.45,24.35,6.8,3.2,花蓮縣政府北偏西方  43.5  公里
小區域,2011/5/10 上午 06:06:00,120.44,23.51,11.1,2.7,嘉義市政府北偏西方  3.9  公里
100057   ,2011/5/8 上午 07:32:00,120.49,23.39,7.8,3.3,台南市政府東北方  53.7  公里
