編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2015/4/29 下午 11:27:00,121.77,23.91,21.7,3.7,花蓮縣政府東偏南方  17.6  公里 (位於臺灣東部海域)
104027   ,2015/4/29 下午 04:19:00,121.61,24.02,7.4,3.9,花蓮縣政府北方  3.6  公里 (位於花蓮縣新城鄉)
小區域,2015/4/29 下午 12:29:00,121.6,24.02,6.5,2.4,花蓮縣政府北偏西方  3.7  公里 (位於花蓮縣新城鄉)
小區域,2015/4/29 上午 08:25:00,121.62,24.02,6.6,2.7,花蓮縣政府北方  3.7  公里 (位於花蓮縣花蓮市)
小區域,2015/4/29 上午 07:35:00,121.62,24.02,7.1,3.4,花蓮縣政府北方  3.4  公里 (位於花蓮縣花蓮市)
小區域,2015/4/27 下午 11:14:00,121.6,23.98,40.2,3.8,花蓮縣政府西南方  2.2  公里 (位於花蓮縣花蓮市)
104026   ,2015/4/26 上午 04:01:00,122.53,23.93,34.8,5.7,花蓮縣政府東方  93.2  公里 (位於臺灣東部海域)
小區域,2015/4/24 下午 08:33:00,121.52,23.74,6.8,3.2,花蓮縣政府南偏西方  30.0  公里 (位於花蓮縣壽豐鄉)
小區域,2015/4/24 下午 08:00:00,122.27,24.12,24.4,4.4,花蓮縣政府東偏北方  67.8  公里 (位於臺灣東部海域)
小區域,2015/4/24 下午 06:19:00,121.53,23.75,6.4,3.6,花蓮縣政府南偏西方  28.4  公里 (位於花蓮縣壽豐鄉)
小區域,2015/4/23 上午 03:04:00,120.3,22.39,31.8,3,高雄市政府南方  25.5  公里 (位於臺灣西部海域)
小區域,2015/4/22 下午 03:49:00,121.49,23.74,8.6,3.8,花蓮縣政府南偏西方  31.0  公里 (位於花蓮縣鳳林鎮)
104025   ,2015/4/20 下午 07:59:00,122.51,23.96,29.4,6,花蓮縣政府東方  90.8  公里 (位於臺灣東部海域)
104024   ,2015/4/20 下午 07:45:00,122.51,24.04,33.9,6.2,花蓮縣政府東方  90.3  公里 (位於臺灣東部海域)
104023   ,2015/4/20 下午 07:20:00,121.66,23.66,38.3,5.5,花蓮縣政府南方  36.9  公里 (位於臺灣東部海域)
小區域,2015/4/20 上午 09:49:00,122.43,24.05,30.7,5,花蓮縣政府東方  82.9  公里 (位於臺灣東部海域)
104022   ,2015/4/20 上午 09:42:00,122.44,24.02,30.6,6.4,花蓮縣政府東方  83.6  公里 (位於臺灣東部海域)
小區域,2015/4/19 下午 03:16:00,121.95,24.82,8.8,3.7,宜蘭縣政府東偏北方  21.8  公里 (位於臺灣東部海域)
104021   ,2015/4/19 上午 07:21:00,120.33,22.43,28.4,3.7,高雄市政府南方  20.9  公里 (位於屏東縣近海)
小區域,2015/4/18 上午 04:25:00,120.55,23.53,10.7,3.1,嘉義市政府東偏北方  10.9  公里 (位於嘉義縣竹崎鄉)
104020   ,2015/4/16 上午 03:48:00,121.35,22.73,26.1,4.7,臺東縣政府東方  20.4  公里 (位於臺灣東部海域)
小區域,2015/4/14 下午 04:53:00,120.37,23.42,9.5,2.7,嘉義縣政府東偏南方  8.6  公里 (位於嘉義縣水上鄉)
104019   ,2015/4/14 上午 01:13:00,121.08,23.93,19.4,4.8,南投縣政府東方  39.9  公里 (位於南投縣仁愛鄉)
小區域,2015/4/13 下午 10:17:00,120.37,23.42,10.8,3.4,嘉義縣政府東偏南方  8.8  公里 (位於嘉義縣水上鄉)
小區域,2015/4/13 上午 01:14:00,120.38,23.48,15.8,2.2,嘉義市政府西方  8.0  公里 (位於嘉義縣太保市)
小區域,2015/4/12 下午 10:12:00,121.53,23.76,2.6,3.7,花蓮縣政府南偏西方  27.3  公里 (位於花蓮縣壽豐鄉)
小區域,2015/4/12 下午 10:10:00,121.51,23.75,4.8,3.6,花蓮縣政府南偏西方  29.3  公里 (位於花蓮縣壽豐鄉)
小區域,2015/4/12 下午 10:03:00,121.52,23.74,5.5,3.1,花蓮縣政府南偏西方  29.3  公里 (位於花蓮縣壽豐鄉)
小區域,2015/4/12 下午 04:01:00,121.66,23.75,38.4,3.7,花蓮縣政府南方  27.4  公里 (位於花蓮縣近海)
小區域,2015/4/12 上午 04:00:00,120.11,23,17.4,2.8,臺南市政府西方  7.9  公里 (位於臺南市近海)
小區域,2015/4/11 上午 06:14:00,121.52,23.75,6.7,3.1,花蓮縣政府南偏西方  28.7  公里 (位於花蓮縣壽豐鄉)
小區域,2015/4/9 下午 01:48:00,122.04,24.84,8.7,3.8,宜蘭縣政府東偏北方  30.6  公里 (位於臺灣東部海域)
小區域,2015/4/9 上午 10:56:00,121.38,23.29,18.6,4,臺東縣政府北偏東方  63.6  公里 (位於臺東縣長濱鄉)
104018   ,2015/4/7 下午 03:19:00,120.91,23.06,5.8,4.1,臺東縣政府西北方  41.8  公里 (位於臺東縣海端鄉)
小區域,2015/4/7 上午 10:24:00,121.52,23.73,5,2.8,花蓮縣政府南偏西方  30.9  公里 (位於花蓮縣豐濱鄉)
104017   ,2015/4/6 下午 07:37:00,122.7,24.46,79.4,5.4,宜蘭縣政府東偏南方  99.4  公里 (位於臺灣東部海域)
104016   ,2015/4/6 上午 04:50:00,121.51,24.06,22.7,4.4,花蓮縣政府西偏北方  13.9  公里 (位於花蓮縣秀林鄉)
小區域,2015/4/6 上午 12:50:00,120.21,23.01,14.5,2.1,臺南市政府東偏北方  2.8  公里 (位於臺南市北區)
小區域,2015/4/5 下午 12:37:00,122.7,24.57,103.9,4.7,宜蘭縣政府東方  96.1  公里 (位於臺灣東部海域)
小區域,2015/4/5 上午 10:10:00,122.07,24.46,23.1,3.5,宜蘭縣政府東南方  43.9  公里 (位於臺灣東部海域)
小區域,2015/4/5 上午 10:02:00,122.07,24.46,22.9,3.6,宜蘭縣政府東南方  43.6  公里 (位於臺灣東部海域)
小區域,2015/4/4 下午 09:17:00,120.51,22.45,19.2,3.7,屏東縣政府南方  25.6  公里 (位於屏東縣林邊鄉)
小區域,2015/4/4 下午 08:46:00,121.9,24.49,27.1,3.7,宜蘭縣政府南偏東方  30.3  公里 (位於宜蘭縣近海)
小區域,2015/4/3 下午 12:25:00,120.54,23.38,11.9,3.1,嘉義市政府東南方  14.0  公里 (位於嘉義縣中埔鄉)
小區域,2015/4/1 下午 06:54:00,121.89,24.41,17.5,3,宜蘭縣政府南偏東方  37.7  公里 (位於臺灣東部海域)
小區域,2015/4/1 上午 06:54:00,120.01,22.23,39.4,3.8,高雄市政府西南方  53.8  公里 (位於臺灣西部海域)
小區域,2015/4/1 上午 01:35:00,121.78,24.63,7.4,2.6,宜蘭縣政府南方  10.9  公里 (位於宜蘭縣冬山鄉)
小區域,2015/3/30 上午 11:02:00,121.71,24.26,12.2,2.8,花蓮縣政府北偏東方  31.0  公里 (位於花蓮縣秀林鄉)
小區域,2015/3/30 上午 09:59:00,121.43,23.76,23.3,3.3,花蓮縣政府西南方  32.3  公里 (位於花蓮縣鳳林鎮)
小區域,2015/3/29 上午 12:21:00,121.98,24.84,13.3,3.3,宜蘭縣政府東偏北方  25.2  公里 (位於臺灣東部海域)
小區域,2015/3/28 下午 11:52:00,121.99,24.83,13.9,3.7,宜蘭縣政府東偏北方  25.9  公里 (位於臺灣東部海域)
小區域,2015/3/28 上午 07:13:00,121.97,24.83,8.6,3.5,宜蘭縣政府東偏北方  23.6  公里 (位於臺灣東部海域)
小區域,2015/3/28 上午 06:51:00,121.96,24.84,11.5,4.1,宜蘭縣政府東偏北方  23.5  公里 (位於臺灣東部海域)
小區域,2015/3/28 上午 03:09:00,121.63,22.33,25.8,4.7,臺東縣政府東南方  68.1  公里 (位於臺灣東部海域)
小區域,2015/3/27 上午 06:41:00,121.66,23.7,38.3,3.8,花蓮縣政府南方  32.5  公里 (位於臺灣東部海域)
小區域,2015/3/25 上午 08:21:00,120.92,23.44,6.1,3.6,嘉義市政府東方  47.7  公里 (位於高雄市桃源區)
小區域,2015/3/25 上午 04:50:00,121.48,23.75,13.8,3.4,花蓮縣政府南偏西方  30.5  公里 (位於花蓮縣鳳林鎮)
小區域,2015/3/24 下午 05:36:00,121.97,24.83,10.1,3.6,宜蘭縣政府東偏北方  23.8  公里 (位於臺灣東部海域)
小區域,2015/3/24 下午 03:09:00,121.61,24,6.7,2.1,花蓮縣政府西北方  2.1  公里 (位於花蓮縣花蓮市)
104015   ,2015/3/23 下午 06:13:00,121.67,23.73,38.4,6.2,花蓮縣政府南方  29.8  公里 (位於臺灣東部海域)
小區域,2015/3/23 下午 03:20:00,121.83,24.31,11.8,2.9,花蓮縣政府北偏東方  40.9  公里 (位於花蓮縣近海)
小區域,2015/3/22 下午 04:37:00,121.52,23.72,1.7,3.1,花蓮縣政府南偏西方  31.3  公里 (位於花蓮縣豐濱鄉)
小區域,2015/3/20 上午 09:14:00,121.71,24.01,34.9,4.2,花蓮縣政府東偏北方  9.4  公里 (位於花蓮縣近海)
小區域,2015/3/19 上午 12:46:00,121.26,22.95,15.2,3.2,臺東縣政府北偏東方  24.1  公里 (位於臺東縣東河鄉)
小區域,2015/3/18 上午 03:33:00,121.4,23.22,19.7,4,臺東縣政府北偏東方  57.2  公里 (位於臺東縣長濱鄉)
小區域,2015/3/17 上午 01:15:00,121.63,24,9,3,花蓮縣政府東偏北方  1.8  公里 (位於花蓮縣花蓮市)
104014   ,2015/3/14 下午 10:45:00,121.9,24.48,27.4,4.6,宜蘭縣政府南偏東方  31.3  公里 (位於宜蘭縣近海)
小區域,2015/3/14 下午 06:09:00,121.6,24,6.6,2.2,花蓮縣政府西偏北方  2.5  公里 (位於花蓮縣花蓮市)
小區域,2015/3/14 下午 05:40:00,121.6,24,7.6,2.3,花蓮縣政府西偏北方  2.1  公里 (位於花蓮縣花蓮市)
小區域,2015/3/14 上午 05:30:00,121.6,24,8,2.8,花蓮縣政府西偏北方  1.8  公里 (位於花蓮縣花蓮市)
小區域,2015/3/14 上午 05:29:00,121.59,24,8,2.3,花蓮縣政府西偏北方  3.2  公里 (位於花蓮縣花蓮市)
小區域,2015/3/14 上午 05:26:00,121.6,24,7.6,2.8,花蓮縣政府西偏北方  2.1  公里 (位於花蓮縣花蓮市)
小區域,2015/3/14 上午 05:24:00,121.62,24,9.2,3.8,花蓮縣政府東北方  .7  公里 (位於花蓮縣花蓮市)
小區域,2015/3/14 上午 02:29:00,121.68,24.07,54.3,4.1,花蓮縣政府東北方  10.8  公里 (位於花蓮縣近海)
小區域,2015/3/13 上午 01:16:00,121.57,23.9,9.8,2.2,花蓮縣政府南偏西方  11.3  公里 (位於花蓮縣壽豐鄉)
小區域,2015/3/13 上午 12:54:00,121.57,23.9,9.4,2.4,花蓮縣政府南偏西方  11.4  公里 (位於花蓮縣壽豐鄉)
小區域,2015/3/13 上午 12:06:00,120.21,23,15.5,2.3,臺南市政府東偏北方  2.5  公里 (位於臺南市東區)
小區域,2015/3/12 下午 07:37:00,122.08,24.72,63.6,4.2,宜蘭縣政府東方  32.0  公里 (位於臺灣東部海域)
小區域,2015/3/12 上午 10:28:00,120.22,23.02,15.2,2.5,臺南市政府東北方  4.5  公里 (位於臺南市永康區)
小區域,2015/3/12 上午 08:28:00,120.47,23.15,14.6,3.2,臺南市政府東偏北方  33.6  公里 (位於臺南市楠西區)
104013   ,2015/3/12 上午 07:02:00,121.82,24.76,93.2,4.6,宜蘭縣政府東偏北方  6.8  公里 (位於宜蘭縣近海)
小區域,2015/3/10 下午 08:06:00,122.54,24.72,93.4,4.3,宜蘭縣政府東方  78.1  公里 (位於臺灣東部海域)
小區域,2015/3/8 上午 10:37:00,120.22,23.01,15.7,2.9,臺南市政府東偏北方  3.5  公里 (位於臺南市北區)
小區域,2015/3/7 上午 06:20:00,121.58,23.93,8.9,2.6,花蓮縣政府西南方  8.5  公里 (位於花蓮縣吉安鄉)
小區域,2015/3/5 上午 01:27:00,121.49,23.91,14.4,3.4,花蓮縣政府西偏南方  16.0  公里 (位於花蓮縣秀林鄉)
小區域,2015/3/4 下午 12:52:00,120.54,22.92,16.1,3.5,屏東縣政府北偏東方  27.0  公里 (位於高雄市美濃區)
小區域,2015/3/2 下午 08:13:00,121.84,24.44,11.3,2.7,宜蘭縣政府南偏東方  33.5  公里 (位於宜蘭縣近海)
104012   ,2015/2/27 上午 12:50:00,122.3,24.69,97.6,5.3,宜蘭縣政府東方  55.0  公里 (位於臺灣東部海域)
小區域,2015/2/26 下午 02:54:00,120.75,23.49,7.4,3.3,嘉義市政府東方  30.2  公里 (位於嘉義縣阿里山鄉)
小區域,2015/2/26 下午 12:19:00,121.49,23.92,15.8,3.2,花蓮縣政府西偏南方  15.4  公里 (位於花蓮縣秀林鄉)
小區域,2015/2/26 上午 01:21:00,121.49,24,20.9,2.8,花蓮縣政府西方  12.8  公里 (位於花蓮縣秀林鄉)
小區域,2015/2/25 上午 10:05:00,121.72,24.17,14.1,3.4,花蓮縣政府北偏東方  22.8  公里 (位於花蓮縣近海)
小區域,2015/2/24 上午 04:03:00,121.42,23.78,24.2,4.2,花蓮縣政府西南方  31.3  公里 (位於花蓮縣萬榮鄉)
小區域,2015/2/24 上午 02:44:00,120.37,23.26,6.3,3,嘉義縣政府南偏東方  23.3  公里 (位於臺南市柳營區)
小區域,2015/2/23 上午 04:25:00,121.8,24.25,14.9,3.3,花蓮縣政府東北方  34.2  公里 (位於花蓮縣近海)
小區域,2015/2/20 下午 09:52:00,121.35,22.68,24.6,3.8,臺東縣政府東偏南方  21.9  公里 (位於臺灣東部海域)
小區域,2015/2/18 下午 11:10:00,120.39,23.2,12.5,3,嘉義縣政府南偏東方  30.0  公里 (位於臺南市官田區)
小區域,2015/2/16 上午 12:44:00,121.27,22.71,19,4.3,臺東縣政府東偏南方  13.3  公里 (位於臺灣東部海域)
104011   ,2015/2/14 上午 04:06:00,121.4,22.66,27.8,6.3,臺東縣政府東偏南方  27.4  公里 (位於臺灣東部海域)
104010   ,2015/2/12 下午 03:35:00,121.7,24.27,29.7,4.7,花蓮縣政府北偏東方  31.5  公里 (位於花蓮縣秀林鄉)
小區域,2015/2/9 下午 04:09:00,121.69,24.27,28.6,3.2,花蓮縣政府北偏東方  31.2  公里 (位於花蓮縣秀林鄉)
小區域,2015/2/8 上午 01:47:00,120.59,21.81,44.4,4.5,高雄市政府南偏東方  94.6  公里 (位於臺灣南部海域)
小區域,2015/2/7 上午 04:32:00,121.48,24.27,5.8,3.2,花蓮縣政府北偏西方  33.9  公里 (位於花蓮縣秀林鄉)
104009   ,2015/2/7 上午 02:27:00,121.76,24.19,13.2,3.8,花蓮縣政府東北方  26.7  公里 (位於臺灣東部海域)
小區域,2015/2/5 下午 03:27:00,122.05,23.79,37.7,3.9,花蓮縣政府東偏南方  49.1  公里 (位於臺灣東部海域)
104008   ,2015/2/4 下午 04:14:00,121.61,24.59,52.7,4.7,宜蘭縣政府西南方  22.3  公里 (位於宜蘭縣大同鄉)
小區域,2015/2/3 下午 06:10:00,123.21,24.93,122.2,4.7,宜蘭縣政府東方  148.3  公里 (位於臺灣東部海域)
小區域,2015/1/31 下午 07:21:00,121.9,24.44,19.5,3,宜蘭縣政府南偏東方  34.5  公里 (位於臺灣東部海域)
小區域,2015/1/30 下午 12:07:00,121.41,23.09,23.1,3.6,臺東縣政府東北方  45.5  公里 (位於臺東縣近海)
小區域,2015/1/27 下午 04:11:00,121.48,23.96,17.7,2.6,花蓮縣政府西偏南方  14.4  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/26 下午 11:29:00,120.55,22.92,15.1,4,屏東縣政府北偏東方  27.3  公里 (位於高雄市美濃區)
小區域,2015/1/26 下午 11:08:00,120.54,22.92,14.9,4.2,屏東縣政府北偏東方  27.1  公里 (位於高雄市美濃區)
小區域,2015/1/25 上午 06:36:00,121.79,24.31,23.6,2.9,花蓮縣政府北偏東方  38.9  公里 (位於花蓮縣近海)
小區域,2015/1/24 下午 11:45:00,121.79,24.3,23.3,3.5,花蓮縣政府北偏東方  38.3  公里 (位於花蓮縣近海)
小區域,2015/1/24 下午 09:50:00,121.99,24.66,60.9,3.9,宜蘭縣政府東偏南方  24.1  公里 (位於臺灣東部海域)
小區域,2015/1/24 下午 03:21:00,120.4,23.22,10.3,3.6,嘉義縣政府南偏東方  29.1  公里 (位於臺南市六甲區)
104007   ,2015/1/24 下午 03:15:00,120.4,23.21,11.1,4.6,嘉義縣政府南偏東方  29.5  公里 (位於臺南市官田區)
小區域,2015/1/24 下午 01:57:00,121.58,24,37.1,3.4,花蓮縣政府西方  4.6  公里 (位於花蓮縣花蓮市)
小區域,2015/1/22 上午 04:46:00,121.69,24.02,39.9,3.7,花蓮縣政府東偏北方  8.2  公里 (位於花蓮縣近海)
小區域,2015/1/21 下午 12:47:00,121.53,23.2,36.8,3.9,臺東縣政府東北方  62.6  公里 (位於臺灣東部海域)
小區域,2015/1/21 上午 05:27:00,121.29,24.02,4.2,2.8,花蓮縣政府西方  33.4  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/21 上午 04:44:00,122.26,24.11,19.8,4.5,花蓮縣政府東方  67.0  公里 (位於臺灣東部海域)
小區域,2015/1/19 下午 11:52:00,121.46,23.95,24.6,3.5,花蓮縣政府西偏南方  17.2  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/19 上午 11:48:00,121.58,22.87,117.9,5,臺東縣政府東偏北方  45.3  公里 (位於臺灣東部海域)
小區域,2015/1/19 上午 08:25:00,120.85,24.15,33.6,3.1,臺中市政府東方  17.1  公里 (位於臺中市新社區)
小區域,2015/1/19 上午 05:53:00,121.4,23.74,20.8,3.8,花蓮縣政府西南方  35.3  公里 (位於花蓮縣萬榮鄉)
小區域,2015/1/18 下午 10:03:00,121.26,22.77,18.2,4.1,臺東縣政府東方  11.7  公里 (位於臺東縣近海)
小區域,2015/1/18 上午 03:52:00,121.47,23.04,39.4,3.6,臺東縣政府東北方  45.1  公里 (位於臺灣東部海域)
小區域,2015/1/18 上午 02:40:00,120.52,23.16,11.5,4.1,嘉義市政府南方  36.0  公里 (位於臺南市楠西區)
104006   ,2015/1/18 上午 02:40:00,120.52,23.17,12.2,4.3,嘉義市政府南偏東方  34.7  公里 (位於臺南市楠西區)
小區域,2015/1/18 上午 01:20:00,120.52,23.17,12.4,3.6,嘉義市政府南偏東方  34.6  公里 (位於臺南市楠西區)
104005   ,2015/1/17 上午 03:12:00,121.95,24.43,31.4,4.9,宜蘭縣政府南偏東方  38.5  公里 (位於臺灣東部海域)
104004   ,2015/1/16 上午 02:33:00,121.58,23.85,23.3,4.3,花蓮縣政府南偏西方  16.5  公里 (位於花蓮縣壽豐鄉)
小區域,2015/1/10 下午 09:52:00,121.55,22.78,18.5,3.7,臺東縣政府東方  40.8  公里 (位於臺灣東部海域)
小區域,2015/1/10 上午 07:38:00,121.78,24.41,8.5,2.9,宜蘭縣政府南方  35.1  公里 (位於宜蘭縣南澳鄉)
小區域,2015/1/9 上午 12:21:00,121.48,23.97,18.1,2.9,花蓮縣政府西方  14.6  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/8 上午 05:56:00,121.96,24.79,78.9,4.2,宜蘭縣政府東偏北方  21.2  公里 (位於臺灣東部海域)
小區域,2015/1/7 下午 02:04:00,121.69,24.25,31.3,3.8,花蓮縣政府北偏東方  29.4  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/7 下午 01:00:00,121.7,24.26,30,3.6,花蓮縣政府北偏東方  31.2  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/7 下午 12:52:00,121.69,24.25,30.7,3.4,花蓮縣政府北偏東方  30.0  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/7 下午 12:51:00,121.69,24.26,29.9,3.9,花蓮縣政府北偏東方  31.0  公里 (位於花蓮縣秀林鄉)
104003   ,2015/1/7 下午 12:48:00,121.69,24.26,30.4,5.5,花蓮縣政府北偏東方  30.6  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/7 下午 12:11:00,121.68,24.28,23,3.6,花蓮縣政府北偏東方  32.2  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/6 下午 06:41:00,121.68,24.15,19.6,3.3,花蓮縣政府北偏東方  18.6  公里 (位於花蓮縣近海)
小區域,2015/1/6 上午 11:39:00,121.67,24.15,20.3,3.8,花蓮縣政府北偏東方  17.8  公里 (位於花蓮縣近海)
104002   ,2015/1/5 下午 01:53:00,122.02,24.69,73.8,5.1,宜蘭縣政府東方  26.2  公里 (位於臺灣東部海域)
小區域,2015/1/3 下午 08:05:00,121.79,24.41,9.6,2.5,宜蘭縣政府南方  35.7  公里 (位於宜蘭縣近海)
小區域,2015/1/3 上午 09:03:00,121.46,23.93,17.3,2.6,花蓮縣政府西偏南方  17.4  公里 (位於花蓮縣秀林鄉)
小區域,2015/1/3 上午 12:44:00,120.3,23.46,6.4,3,嘉義縣政府東偏北方  .8  公里 (位於嘉義縣太保市)
104001   ,2015/1/2 上午 01:10:00,121.47,23.68,19.8,4.5,花蓮縣政府南偏西方  38.1  公里 (位於花蓮縣光復鄉)
103154   ,2014/12/31 下午 03:54:00,122.57,24.59,96.1,5.6,宜蘭縣政府東方  82.8  公里 (位於臺灣東部海域)
103153   ,2014/12/31 上午 11:06:00,121.79,24.82,68.9,5.1,宜蘭縣政府北偏東方  10.7  公里 (位於宜蘭縣礁溪鄉)
小區域,2014/12/30 下午 09:50:00,122.73,24.89,121,4.5,宜蘭縣政府東方  99.1  公里 (位於臺灣東部海域)
小區域,2014/12/29 下午 10:01:00,120.11,23,17.1,2.4,臺南市政府西方  7.7  公里 (位於臺南市近海)
小區域,2014/12/28 下午 07:11:00,121.36,23.19,16.1,3.6,臺東縣政府北偏東方  52.6  公里 (位於臺東縣成功鎮)
小區域,2014/12/28 上午 09:54:00,121.21,23.15,19.6,3.4,臺東縣政府北方  43.8  公里 (位於花蓮縣卓溪鄉)
103152   ,2014/12/28 上午 01:08:00,121.69,24.26,29.7,4.1,花蓮縣政府北偏東方  31.1  公里 (位於花蓮縣秀林鄉)
小區域,2014/12/27 下午 08:22:00,122.65,24.55,96.6,4.8,宜蘭縣政府東偏南方  92.2  公里 (位於臺灣東部海域)
小區域,2014/12/25 下午 04:08:00,121.5,24.04,18.5,2.8,花蓮縣政府西偏北方  13.2  公里 (位於花蓮縣秀林鄉)
小區域,2014/12/23 下午 09:32:00,121.72,24.15,12.9,3,花蓮縣政府北偏東方  20.9  公里 (位於花蓮縣近海)
小區域,2014/12/23 下午 07:39:00,121.72,24.16,12.8,3.2,花蓮縣政府北偏東方  21.7  公里 (位於花蓮縣近海)
小區域,2014/12/22 上午 11:30:00,121.45,23.87,18,2.7,花蓮縣政府西南方  21.6  公里 (位於花蓮縣秀林鄉)
103151   ,2014/12/22 上午 08:53:00,121.85,24.52,25.3,3.9,宜蘭縣政府南偏東方  25.4  公里 (位於宜蘭縣近海)
小區域,2014/12/21 下午 09:15:00,121.41,23.75,18.9,3,花蓮縣政府西南方  34.6  公里 (位於花蓮縣萬榮鄉)
小區域,2014/12/21 上午 09:12:00,122,24.86,12.6,3.7,宜蘭縣政府東偏北方  27.9  公里 (位於臺灣東部海域)
小區域,2014/12/20 下午 02:07:00,120.21,23.01,16.2,2.7,臺南市政府東北方  3.1  公里 (位於臺南市北區)
小區域,2014/12/19 上午 07:34:00,121.67,24.51,7.2,3.3,宜蘭縣政府南偏西方  26.3  公里 (位於宜蘭縣南澳鄉)
小區域,2014/12/19 上午 01:50:00,121.4,23.77,21.4,3.1,花蓮縣政府西南方  33.1  公里 (位於花蓮縣萬榮鄉)
小區域,2014/12/19 上午 01:10:00,121.4,22.23,21,3.6,臺東縣政府南偏東方  64.1  公里 (位於臺灣東部海域)
小區域,2014/12/18 上午 01:09:00,121.62,23.95,4.5,1.7,花蓮縣政府南方  4.6  公里 (位於花蓮縣近海)
小區域,2014/12/15 下午 06:55:00,121.76,24.42,4.5,1.7,宜蘭縣政府南方  34.0  公里 (位於宜蘭縣南澳鄉)
103150   ,2014/12/15 上午 10:15:00,120.85,24.28,25.1,3.3,臺中市政府東北方  23.5  公里 (位於臺中市東勢區)
103149   ,2014/12/14 下午 01:06:00,121.47,23.13,43,4.6,臺東縣政府東北方  53.0  公里 (位於臺東縣近海)
小區域,2014/12/14 上午 11:32:00,120.23,23.05,14.7,2.7,臺南市政府東北方  8.5  公里 (位於臺南市永康區)
小區域,2014/12/13 上午 05:50:00,120.48,23.23,8.3,4,嘉義市政府南方  27.8  公里 (位於臺南市東山區)
103148   ,2014/12/11 上午 05:03:00,122.61,25.45,268.6,6.7,基隆市政府東偏北方  93.6  公里 (位於臺灣東北部海域)
小區域,2014/12/10 上午 06:43:00,121.4,23.75,17.4,3,花蓮縣政府西南方  35.2  公里 (位於花蓮縣萬榮鄉)
103147   ,2014/12/9 下午 09:07:00,122.09,24.41,22.7,4.1,宜蘭縣政府東南方  48.6  公里 (位於臺灣東部海域)
小區域,2014/12/8 下午 05:09:00,121.42,22.23,20.1,4,臺東縣政府南偏東方  64.7  公里 (位於臺灣東部海域)
小區域,2014/12/7 下午 08:39:00,121.77,24.32,14.3,2.7,花蓮縣政府北偏東方  39.8  公里 (位於宜蘭縣近海)
小區域,2014/12/6 下午 07:10:00,121.43,23.38,31.4,3.2,花蓮縣政府南偏西方  70.9  公里 (位於臺東縣長濱鄉)
小區域,2014/12/4 下午 11:41:00,121.58,23.26,40.1,3.9,臺東縣政府東北方  70.8  公里 (位於臺灣東部海域)
103146   ,2014/12/4 下午 01:23:00,121.44,24.35,6.6,3.9,花蓮縣政府北偏西方  43.9  公里 (位於花蓮縣秀林鄉)
小區域,2014/12/4 上午 09:14:00,122.16,24.32,56,4.5,宜蘭縣政府東南方  60.9  公里 (位於臺灣東部海域)
小區域,2014/12/3 上午 06:01:00,122.13,23.75,28.3,4.9,花蓮縣政府東偏南方  58.0  公里 (位於臺灣東部海域)
小區域,2014/12/2 下午 07:44:00,121.84,24.38,16.5,2.8,宜蘭縣政府南偏東方  39.8  公里 (位於宜蘭縣近海)
103145   ,2014/12/2 下午 06:30:00,121.74,24.67,70.2,4.1,宜蘭縣政府南偏西方  7.3  公里 (位於宜蘭縣冬山鄉)
小區域,2014/12/1 上午 01:21:00,121.4,23.75,18.6,3.1,花蓮縣政府西南方  34.7  公里 (位於花蓮縣萬榮鄉)
103144   ,2014/11/30 下午 07:34:00,121.83,24.37,17,3.2,宜蘭縣政府南方  40.3  公里 (位於宜蘭縣近海)
103143   ,2014/11/30 下午 06:53:00,121.83,24.37,17,3.8,宜蘭縣政府南方  40.5  公里 (位於宜蘭縣近海)
小區域,2014/11/30 上午 08:00:00,121.39,23.75,17.4,2.9,花蓮縣政府西南方  35.4  公里 (位於花蓮縣萬榮鄉)
小區域,2014/11/30 上午 07:30:00,121.72,24.3,50.3,3.9,花蓮縣政府北偏東方  35.6  公里 (位於花蓮縣秀林鄉)
小區域,2014/11/26 上午 07:14:00,121.79,24.27,11.9,3.3,花蓮縣政府北偏東方  35.4  公里 (位於花蓮縣近海)
小區域,2014/11/26 上午 04:06:00,121.96,23.96,36.8,3.8,花蓮縣政府東方  34.9  公里 (位於臺灣東部海域)
小區域,2014/11/25 下午 04:27:00,121.63,23.48,46.8,4.1,花蓮縣政府南方  56.3  公里 (位於臺灣東部海域)
小區域,2014/11/25 上午 11:37:00,120.9,23,5.7,3.4,臺東縣政府西北方  37.1  公里 (位於臺東縣海端鄉)
小區域,2014/11/25 上午 10:23:00,120.87,22.74,7.9,3.1,臺東縣政府西方  29.0  公里 (位於屏東縣霧台鄉)
小區域,2014/11/25 上午 12:35:00,121.37,23.65,16,3.4,花蓮縣政府西南方  45.8  公里 (位於花蓮縣萬榮鄉)
小區域,2014/11/24 上午 05:38:00,120.9,23,5.1,3.7,臺東縣政府西北方  37.4  公里 (位於臺東縣海端鄉)
